Time, Position
1, 7.810249675906654
2, 8.48528137423857
3, 9.219544457292887
4, 9.219544457292887
5, 9.219544457292887
6, 9.899494936611665
7, 10.63014581273465
8, 10.63014581273465
9, 10.63014581273465
10, 11.313708498984761
11, 12.041594578792296
12, 12.041594578792296
13, 12.041594578792296
14, 12.727922061357855
15, 13.45362404707371
16, 13.45362404707371
17, 13.45362404707371
18, 14.142135623730951
19, 14.866068747318506
20, 14.866068747318506
21, 14.866068747318506
22, 15.556349186104045
23, 16.278820596099706
24, 16.278820596099706
25, 16.278820596099706
26, 16.97056274847714
27, 17.69180601295413
28, 17.69180601295413
29, 17.69180601295413
30, 18.384776310850235
31, 19.1049731745428
32, 19.1049731745428
33, 19.1049731745428
34, 19.79898987322333
35, 20.518284528683193
36, 20.518284528683193
37, 20.518284528683193
38, 21.213203435596427
39, 21.93171219946131
40, 21.93171219946131
41, 21.93171219946131
42, 22.627416997969522
43, 23.345235059857504
44, 23.345235059857504
45, 23.345235059857504
46, 24.041630560342615
47, 24.758836806279895
48, 24.758836806279895
49, 24.758836806279895
50, 25.45584412271571
51, 26.1725046566048
52, 26.1725046566048
53, 26.1725046566048
54, 26.870057685088806
55, 27.586228448267445
56, 27.586228448267445
57, 27.586228448267445
58, 28.284271247461902
59, 29.0
60, 29.0
61, 29.0
62, 29.698484809834994
63, 30.4138126514911
64, 30.4138126514911
65, 30.4138126514911
66, 31.11269837220809
67, 31.827660925679098
68, 31.827660925679098
69, 31.827660925679098
70, 32.526911934581186
71, 33.24154027718932
72, 33.24154027718932
73, 33.24154027718932
74, 33.94112549695428
75, 34.655446902326915
76, 34.655446902326915
77, 34.655446902326915
78, 35.35533905932738
79, 36.069377593742864
80, 36.069377593742864
81, 36.069377593742864
82, 36.76955262170047
83, 37.48332962798263
84, 37.48332962798263
85, 37.48332962798263
86, 38.18376618407357
87, 38.897300677553446
88, 38.897300677553446
89, 38.897300677553446
90, 39.59797974644666
91, 40.311288741492746
92, 40.311288741492746
93, 40.311288741492746
94, 41.012193308819754
95, 41.72529209005013
96, 41.72529209005013
97, 41.72529209005013
98, 42.42640687119285
99, 43.139309220245984
100, 43.139309220245984
101, 43.139309220245984
102, 43.840620433565945
103, 44.553338819890925
104, 44.553338819890925
105, 44.553338819890925
106, 45.254833995939045
107, 45.967379738244816
108, 45.967379738244816
109, 45.967379738244816
110, 46.66904755831214
111, 47.38143096192854
112, 47.38143096192854
113, 47.38143096192854
114, 48.08326112068523
115, 48.79549159502341
116, 48.79549159502341
117, 48.79549159502341
118, 49.49747468305833
119, 50.20956084253277
120, 50.20956084253277
121, 50.20956084253277
122, 50.91168824543142
123, 51.62363799656123
124, 51.62363799656123
125, 51.62363799656123
126, 52.32590180780452
127, 53.03772242470448
128, 53.03772242470448
129, 53.03772242470448
130, 53.74011537017761
131, 54.45181356024793
132, 54.45181356024793
133, 54.45181356024793
134, 55.154328932550705
135, 55.86591089385369
136, 55.86591089385369
137, 55.86591089385369
138, 56.568542494923804
139, 57.28001396647874
140, 57.28001396647874
141, 57.28001396647874
142, 57.982756057296896
143, 58.69412236331676
144, 58.69412236331676
145, 58.69412236331676
146, 59.39696961966999
147, 60.108235708594876
148, 60.108235708594876
149, 60.108235708594876
150, 60.81118318204309
151, 61.5223536610881
152, 61.5223536610881
153, 61.5223536610881
154, 62.22539674441618
155, 62.93647591023825
156, 62.93647591023825
157, 62.93647591023825
158, 63.63961030678928
159, 64.35060217278468
160, 64.35060217278468
161, 64.35060217278468
162, 65.05382386916237
163, 33.94112549695428
164, 33.94112549695428
165, 5.656854249492381
166, 6.4031242374328485
167, 6.4031242374328485
168, 6.4031242374328485
169, 7.0710678118654755
170, 7.810249675906654
171, 7.810249675906654
172, 7.810249675906654
173, 8.48528137423857
174, 9.219544457292887
175, 9.219544457292887
176, 9.219544457292887
177, 9.899494936611665
178, 10.63014581273465
179, 10.63014581273465
180, 10.63014581273465
181, 11.313708498984761
182, 12.041594578792296
183, 12.041594578792296
184, 12.041594578792296
185, 12.727922061357855
186, 13.45362404707371
187, 13.45362404707371
188, 13.45362404707371
189, 14.142135623730951
190, 14.866068747318506
191, 14.866068747318506
192, 14.866068747318506
193, 15.556349186104045
194, 16.278820596099706
195, 16.278820596099706
196, 16.278820596099706
197, 16.97056274847714
198, 17.69180601295413
199, 17.69180601295413
200, 17.69180601295413
